30.296858, -97.774386
30.296459, -97.773317
30.296258, -97.773210
30.296058, -97.773171
30.295871, -97.773204
30.293834, -97.774451
30.293228, -97.772455
30.292049, -97.771503
30.291684, -97.771324
30.290117, -97.772410
30.290422, -97.772629
30.291188, -97.774094
30.290763, -97.774508
30.290601, -97.774606
30.290430, -97.774762
30.290354, -97.775027
30.290392, -97.775401
30.290501, -97.775563
30.290888, -97.775199
30.290979, -97.775094
30.290887, -97.774984
30.290601, -97.774606
30.290430, -97.774762
30.290354, -97.775027
30.290392, -97.775401
30.290501, -97.775563
30.290888, -97.775199
30.290979, -97.775094
30.290887, -97.774984
